INPUT:
[[0.902284800000001, 0.000241481481481024, 0.33666666666666667, 0.19083333333333335],
[0.9062707999999958, 0.01855555555555442, 0.35, 0.24611111111111109],
[0.9075819201171441, 0.03881266653955673, 0.33699999999999997, 0.2066666666666667],
[0.9119572001057434, 0.05661437692847809, 0.346969696969697, 0.18936868686868685],
[0.9168839999999989, 0.07477777777777721, 0.35, 0.17],
[0.9206420000000008, 0.09309074074074032, 0.3433333333333334, 0.2525],
[0.9207287999999977, 0.11288074074074035, 0.32, 0.24000000000000002],
[0.9204009092225505, 0.1327053198908483, 0.3560606060606061, 0.2618181818181818],
[0.9197055001310531, 0.15264774695520808, 0.33999999999999997, 0.26296296296296295],
[0.9175780667928108, 0.1717417593857311, 0.3430555555555556, 0.29520833333333335],
[0.9138304001005337, 0.1907566976679734, 0.3461111111111111, 0.30344907407407407],
[0.909522254634959, 0.208258417651993, 0.31969696969696965, 0.31782828282828285],
[0.9046328000707007, 0.224077963092784, 0.30366666666666664, 0.33119444444444446],
[0.8994905455278683, 0.2392532998120398, 0.30363636363636365, 0.3348232323232323],
[0.8942800000000005, 0.25387888888888893, 0.2966666666666667, 0.3288888888888889],
[0.8892291999999997, 0.26811296296296244, 0.2866666666666667, 0.3347222222222222],
[0.8843367999999998, 0.2819062962962948, 0.28, 0.34055555555555556],
[0.879214266711702, 0.2953614198634062, 0.26333333333333336, 0.3509722222222222]]
OUTPUT:
[[0.8683972000000011, 0.3179266666666667, 0.2533333333333333, 0.3572222222222222],
[0.8629568000000034, 0.3288733333333352, 0.24333333333333332, 0.36138888888888887],
[0.857462799999999, 0.3397562962962963, 0.25, 0.36],
[0.852163999999999, 0.35047592592592586, 0.24333333333333332, 0.36],
[0.8470179999999999, 0.3611807407407425, 0.24333333333333332, 0.36083333333333334],
[0.8419780727793238, 0.3729775085445666, 0.26666666666666666, 0.3466666666666667],
[0.8366950909596795, 0.38565683514462146, 0.27666666666666667, 0.35207070707070703],
[0.8312577667760337, 0.3984899385052808, 0.2733333333333333, 0.3428935185185185],
[0.8261736800548789, 0.41200185196062383, 0.27666666666666667, 0.3426666666666667],
[0.8209944364223617, 0.4256791920544062, 0.2863636363636363, 0.3487626262626263],
[0.8159619999999961, 0.43934999999999996, 0.2833333333333333, 0.33722222222222226],
[0.8108054800657015, 0.45299637051698033, 0.2833333333333333, 0.3440277777777778],
[0.8054714800576874, 0.4662031482969725, 0.28, 0.35338888888888886],
[0.8001797200489392, 0.47909092603629455, 0.27299999999999996, 0.33866666666666667],
[0.7988560000000036, 0.48898518518518636, 0.13333333333333333, 0.9241666666666666],
[0.803248909251056, 0.4724016837792172, 0.43, 0.8171464646464647],
[0.8094319999999982, 0.4503585185185174, 0.43, 0.8233333333333333],
[0.8139806545606433, 0.4390170034088854, 0.1572727272727273, 0.8526010101010101]]
